id,name,faction_id,source_id,legend,role,loadout,transport,virtual,leader_head,leader_footer,damaged_w,damaged_description,link
22,Nob With Waaagh! Banner,ORK,243,"Entrusted to the warband’s most stubborn Nob, a Waaagh! banner serves as a rallying point and a place for the Warboss to display his favourite trophies, glyph plates and such. Should the ladz need some encouragement to get stuck into a scrap, the banner also doubles as a handy bludgeon to beat some ferocity into them.",Characters,<b>This model is equipped with:</b> kustom shoota; Waaagh! banner.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Nob-With-Waaagh-Banner
23,Nobz On Warbikes,ORK,243,"When a mob of Ork Nobz takes to the battlefield riding kustomised warbikes, the ground shakes beneath their hurtling advance and the enemy scatter in terror. Capable of unleashing hails of devastating – if inaccurate – fire and bringing an array of brutal close combat weapons to bear, Nobz on Warbikes are a threat to even the mightiest foes.",Other,<b>Every model is equipped with:</b> twin dakkagun; choppa; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Nobz-On-Warbikes
24,Meganobz,ORK,46,"Mega armour comprises massive slabs of metal bashed roughly into shape, and is powered by pistons and sheer brute strength. It is highly resilient and can mount an array of potent weaponry. It is also usually worn to battle by toof-rich Nobz who would be scary enough even were they not each wearing their own Ork-portable bunker.",Other,<b>Every model is equipped with:</b> kustom shoota; power klaw.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Meganobz
25,Kommandos,ORK,46,"No right-thinking Ork trusts Kommandos. They sneak up on the enemy rather than charging in headlong, and have an unhealthy fascination with very big knives and their application to people’s backs, throats and guts. That said, having a band of Kommandos ambush the enemy mid-battle definitely has its uses.",Other,<b>Every model is equipped with:</b> slugga; choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Kommandos
26,Trukk,ORK,46,"Trukks are ramshackle assemblages of hastily welded and riveted scrap metal bolted to overpowered engine blocks and rusty chassis. Rolling on fat, armoured tyres, they bear mobs of Orks into battle at high speed, shrugging off enemy fire by the simple expedient of shedding ablative panels and plates.",Dedicated Transports,<b>This model is equipped with:</b> big shoota; spiked wheels.,"This model has a transport capacity of 12 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models. Each <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span> model takes up the space of 2 models. It cannot transport <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka""><span class=""kwb kwbo"">GHAZGHKULL</span> <span class=""kwb kwbo"">THRAKA</span></a> models.",FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Trukk
27,Stormboyz,ORK,46,"Most Orks mock Stormboyz for their acts of juvenile rebellion, from taking orders and shining their boots to marching about, talking about ‘taktics’ and even following a battle plan. Yet when that plan is ‘strap on a high powered rokkit and hurtle into the enemy bellowing “Waaagh!”’, it does prove to have its merits.",Other,<b>Every model is equipped with:</b> slugga; choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Stormboyz
28,Deffkoptas,ORK,46,"Most Orks take a dim view of muckin’ about in the sky, and would much rather go to war with their feet firmly on the ground. Deffkopta pilots are the lunatic exception, hurtling ahead to spy out enemy forces for their warband to bring to battle, and to give those same enemies a good strafing run or three in the meantime.",Other,<b>Every model is equipped with:</b> kopta rokkits; slugga; spinnin’ blades.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Deffkoptas
29,Dakkajet,ORK,46,"Rocketing through the skies on billowing trails of flame and smoke, Dakkajets come in low and hard over the battlefield. These single-seater Ork attack craft are ludicrously over-gunned for their size, all but shaking themselves apart as their pilots unleash storms of dakka on luckless ground targets or enemy aircraft with equal glee.",Other,<b>This model is equipped with:</b> 2 twin supa-shootas; armoured hull.,,FALSE,,,45661,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Dakkajet
30,Burna-bommer,ORK,46,"Meant for burning enemy infantry out of fortifications and dense cover, Burna-bommers fly so low that they frequently scorch their undercarriage with their own ordnance. The Burna Boy pilots consider this a small price to pay in order to watch their victims do ‘da burny dance’ as their skorcha missile racks and burna bombs rain down.",Other,<b>This model is equipped with:</b> twin big shoota; twin supa-shoota; armoured hull.,,FALSE,,,45661,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Burna-bommer
31,Blitza-bommer,ORK,46,"While not as shooty as a Dakkajet, each Blitza-bommer lugs enormous boom bombs into battle under its wings. Dive-bombing the enemy with reckless abandon, the Blitza-bommers detach their oversized payloads before (hopefully) pulling up and screaming skywards again while vast fireballs billow in their wake.",Other,<b>This model is equipped with:</b> big shoota; twin supa-shoota; armoured hull.,,FALSE,,,45661,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Blitza-bommer
32,Wazbom Blastajet,ORK,46,"Some Meks take to the skies in their own kustom aircraft. The result is the Wazbom Blastajet, an airborne workshop that is wreathed in a protective force field, and bristling with weird weapons that pluck their targets from the ground, blast them to atoms or rip them apart with conflicting tellyporta beams.",Other,<b>This model is equipped with:</b> smasha gun; twin wazbom mega-kannon; armoured hull.,,FALSE,,,45661,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Wazbom-Blastajet
33,Warbikers,ORK,46,"Ork Warbikers race into battle with dakkaguns hammering, ragged trails of dust and smoke boiling up behind them like an ill omen. They race one another at breakneck pace to reach the enemy first, execute death-defying stunts at suicidal speeds, then crash headlong into the foe’s battle line like battering rams.",Other,<b>Every model is equipped with:</b> twin dakkagun; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Warbikers
34,Wartrakks,ORK,243,,Other,<b>Every model is equipped with:</b> twin big shoota; spiked wheel.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Wartrakks
35,Skorchas,ORK,243,,Other,<b>Every model is equipped with:</b> skorcha; spiked wheel.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Skorchas
36,Warbuggies,ORK,243,,Other,<b>Every model is equipped with:</b> twin big shoota; spiked wheels.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Warbuggies
37,Big Gunz,ORK,243,,Other,<b>Every model is equipped with:</b> kannon; close combat weapons.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Big-Gunz
38,Mek Gunz,ORK,46,"From guns that spew unstable force-bubbles to overcharged energy cannons, gravity beamers that crumple their targets like a squig-oil canister in a Nob’s fist to tractor-beams that toss foes about and drag planes from the air, the only unifying factor about the madcap Mek Gunz is what a mess they make of the foe.",Other,"<b>Every model is equipped with:</b> smasha gun; grot crew. <br><br><b>Designer’s Note:</b> <i>Place five Grot Crew tokens next to each Mek Gun model when this unit is first set up, removing one each time its Mek Gun model loses a wound (a Mek Gun model itself is considered to represent its final wound).</i>",,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Mek-Gunz
39,Battlewagon,ORK,46,"No two Battlewagons are the same, for the Meks that build them can never resist cobbling on armour plates, ramming spikes, assorted dakka and random worky-gubbinz. However, all are rugged transport tanks with the capacity to bear a vast number of angry Orks into battle while shrugging off the worst the enemy can throw at them.",Other,<b>This model is equipped with:</b> tracks and wheels.,"This model has a <a href=""/wh40k10ed/the-rules/core-rules/#Transport-Capacity"">transport capacity</a> of 22 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models. If this model is equipped with a killkannon, it has a transport capacity of 12 <span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span> models. Each <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span> or <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> model takes up the space of 2 models. The <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka""><span class=""kwb kwbo"">GHAZGHKULL</span> <span class=""kwb kwbo"">THRAKA</span></a> model takes up the space of 4 models.",FALSE,,,45662,"While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Battlewagon
40,Deff Dread,ORK,46,"Being wired into a Deff Dread affords strength, resilience and a terrifying array of vicious weaponry. Of course, the reality of being stuck in a metal box for life and drinking your meals through a straw soon gets old, but the pilots’ resulting unhinged ferocity only serves to make Deff Dreads all the more dangerous in battle.",Other,<b>This model is equipped with:</b> 2 big shootas; 2 dread klaws; stompy feet.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Deff-Dread
41,Killa Kans,ORK,46,"Surgically wiring grots into combat walkers is risky: the runty loons tend to go on a bit of a power trip, hazardous to every Ork that ever treated them badly. On the other hand, their ability to shoot straight renders their hails of rokkits, bullets and grotzooka-launched scrap- shrapnel even more hazardous to the foe.",Other,<b>Every model is equipped with:</b> Kan shoota; Kan klaw.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Killa-Kans
42,Morkanaut,ORK,46,"Usually piloted by the exiled Badmek who built it, a Morkanaut is a hulking combat walker with a dash of Mork-esque know-wotz applied. Packed with all manner of glowy gubbinz, Morkanauts unleash their arsenals of bizarre and deadly weapons in what their pilots think of as displays of pure kunnin’ worthy of Mork.",Other,<b>This model is equipped with:</b> kustom mega-blasta; kustom mega-zappa; 2 rokkit launchas; 2 twin big shootas; klaw of Mork.,"This model has a <a href=""/wh40k10ed/the-rules/core-rules/#Transport-Capacity"">transport capacity</a> of 12 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models (excluding <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka""><span class=""kwb kwbo"">GHAZGHKULL</span> <span class=""kwb kwbo"">THRAKA</span></a>). Each <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span> or <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> model takes up the space of 2 models.",FALSE,,,45664,"While this model has 1-7 wounds remaining, subtract 4 from this model’s Objective Control characteristic, and each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Morkanaut
43,Gorkanaut,ORK,46,"Outcast Nobz pilot these lumbering war engines, following the echoing call of the Great Waaagh! out across the stars. They are welcomed by Ork warbands wherever they go, for the punishing hails of firepower they can unleash are devastating, and few foes can long survive the grasp of their enormous, piston-powered klaws.",Other,<b>This model is equipped with:</b> deffstorm mega-shoota; 2 rokkit launchas; skorcha; 2 twin big shootas; klaw of Gork.,"This model has a transport capacity of 12 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models (excluding <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka""><span class=""kwb kwbo"">GHAZGHKULL</span> <span class=""kwb kwbo"">THRAKA</span></a>). Each <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span> or <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> model takes up the space of 2 models.",FALSE,,,45664,"While this model has 1-7 wounds remaining, subtract 4 from this model’s Objective Control characteristic, and each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Gorkanaut
44,Lootas,ORK,46,"Lootas grub together every toof and fistful of scrap they can, then use the former to pay the Meks to turn the latter into very, very large guns. These they then turn on the enemy with gleeful abandon, unleashing such prodigious – if erratic – hails of fire that they can stop a battle tank in its tracks or scythe down squads of infantry.",Other,<b>Every Spanner is equipped with:</b> big shoota; close combat weapon. <br><br><b>Every Loota is equipped with:</b> deffgun; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Lootas
45,Flash Gitz,ORK,46,"Flash Gitz are despised by other greenskins for being self-important show-offs with too much snazz and dakka for their own good. The Gitz couldn’t care less, of course, delighting in ostentatiously brandishing their over-the-top snazzguns before using them to utterly demolish the enemy in a hail of shells, blasts and rokkits.",Other,<b>Every model is equipped with:</b> snazzgun; choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Flash-Gitz
46,Stompa,ORK,46,"Something akin to a bad-tempered, armour-plated mountain covered in guns, the Stompa is a walking idol to Gork and Mork. It packs enough firepower to level an enemy fortress or annihilate entire formations of troops with a single volley, while anything unlucky enough to get within reach is soon crushed flat.",Other,<b>This model is equipped with:</b> 3 big shootas; deffkannon; skorcha; supa-gatler; supa-rokkits; twin big shoota; mega-choppa.,"This model has a <a href=""/wh40k10ed/the-rules/core-rules/#Transport-Capacity"">transport capacity</a> of 22 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models. Each <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span> or <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> model takes up the space of 2 models. The <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka""><span class=""kwb kwbo"">GHAZGHKULL</span> <span class=""kwb kwbo"">THRAKA</span></a> model takes up the space of 15 models.",FALSE,,,45667,"While this model has 1-10 wounds remaining, subtract 6 from this model’s Objective Control characteristic and each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Stompa
49,Grot Tanks,ORK,243,"Grot tanks are the product of the deranged imaginations of grot riggers and scavs that have spent too long basking in the mad genius of the Big Meks. Diminutive imitations of far larger Ork war machines, these ramshackle creations are a natural accompaniment to their pilots’ cunning ways of war.",Other,<b>Every model is equipped with:</b> Grot tank shoota; ramshackle hull.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Grot-Tanks
50,Grot Mega-tank,ORK,243,"For some grot would-be Meks, the vicarious joys of riding in ramshackle Grot Tanks are not enough. They crave even bigger rigs, and even more gunz! To this end, the most ambitious of their kind build their best imitations of Battle Fortresses. These Grot Mega-tanks are even more dangerously erratic than their smaller kin, but bristle with all the best gear the grots can scavenge or pilfer, and have been the doom of many an unsuspecting foe.",Other,<b>This model is equipped with:</b> Mega-tank weapons; twin big shoota; twin grotzooka; armoured hull.,,FALSE,,,45661,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Grot-Mega-tank
51,Squiggoth,ORK,243,"Squiggoths are enormous scaly creatures bred as beasts of war by Ork Pigdoks. With armour panelling bolted to their already thick hides and crude howdahs built on their backs, they thunder into battle loaded with heavy weapons and Boyz, trampling everything in their path and smashing into vehicles and buildings like a battering ram.",Other,<b>This model is equipped with:</b> gorin’ horns.,"This model has a transport capacity of 10 <span class=""tooltip00076"" data-tooltip-content=""#tooltip_content00076"" data-tooltip-anchor=""#tooltip_content00076""><span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span></span> models. If this model is equipped with a kannon, it has a transport capacity of 6 <span class=""kwb"">ORKS</span> <span class=""kwb"">INFANTRY</span> models. It cannot transport <span class=""tooltip00362"" data-tooltip-content=""#tooltip_content00362"" data-tooltip-anchor=""#tooltip_content00362""><span class=""kwb"">MEGA</span> <span class=""kwb"">ARMOUR</span></span>, <span class=""tooltip00363"" data-tooltip-content=""#tooltip_content00363"" data-tooltip-anchor=""#tooltip_content00363""><span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> or <a href=""/wh40k10ed/factions/orks/Ghazghkull-Thraka"">Ghazghkull Thraka</a> models.",FALSE,,,45663,"While this model has 1-6 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Squiggoth
52,Meka-dread,ORK,243,"Kustomised from the same basic chassis as Mega Dreads, Meka-Dreads commonly house a Mekboy who has wired himself into his own creation. They couple the spectacular firepower and close-quarters destruction of most Ork combat walkers with their pilot's ability to work crude but effective battlefield repairs on other damaged Orkoid war machines.",Other,<b>This model is equipped with:</b> killkannon; dread rippa klaw; stompy feet.,,FALSE,,,45662,"While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Meka-dread
53,Lifta Wagon,ORK,243,,Other,<b>This model is equipped with:</b> lifta-droppa; tracks and wheels.,,FALSE,,,45662,"While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>.",https://wahapedia.ru/wh40k10ed/factions/orks/Lifta-Wagon
